CPU 2 iZ25qtxwjqdZ,User%,Sys%,Wait%,Idle%
2015-12-09 14:15:01,5.3,3.8,6.9,84.0
2015-12-09 14:15:02,3.2,2.2,0.0,94.6
2015-12-09 14:15:03,6.3,2.1,0.0,91.6
2015-12-09 14:15:04,4.3,1.1,0.0,94.7
2015-12-09 14:15:05,5.2,3.1,1.0,90.6
2015-12-09 14:15:06,9.7,2.2,0.0,88.2
2015-12-09 14:15:07,6.5,4.3,0.0,89.2
2015-12-09 14:15:08,10.6,2.1,0.0,87.2
2015-12-09 14:15:09,4.3,3.2,0.0,92.5
2015-12-09 14:15:10,7.6,2.2,0.0,90.2
2015-12-09 14:15:11,7.6,3.3,0.0,89.1
2015-12-09 14:15:12,7.4,4.2,0.0,88.4
2015-12-09 14:15:13,8.7,2.2,7.6,81.5
2015-12-09 14:15:14,6.3,2.1,14.7,76.8
2015-12-09 14:15:15,8.7,3.3,0.0,88.0
2015-12-09 14:15:16,9.7,4.3,0.0,86.0
2015-12-09 14:15:17,9.8,4.3,0.0,85.9
2015-12-09 14:15:18,10.9,4.3,5.4,79.3
2015-12-09 14:15:19,4.3,3.3,0.0,92.4
2015-12-09 14:15:20,10.9,3.3,0.0,85.9
2015-12-09 14:15:21,13.2,4.4,0.0,82.4
2015-12-09 14:15:22,15.1,5.4,0.0,79.6
2015-12-09 14:15:23,9.9,4.4,0.0,85.7
2015-12-09 14:15:24,9.8,4.3,4.3,81.5
2015-12-09 14:15:25,15.1,5.4,0.0,79.6
2015-12-09 14:15:26,13.5,4.5,0.0,82.0
2015-12-09 14:15:27,12.1,5.5,0.0,82.4
2015-12-09 14:15:28,13.3,4.4,2.2,80.0
2015-12-09 14:15:29,9.8,3.3,0.0,87.0
2015-12-09 14:15:30,13.2,5.5,0.0,81.3
2015-12-09 14:15:31,16.3,6.5,0.0,77.2
2015-12-09 14:15:32,15.2,5.4,0.0,79.3
2015-12-09 14:15:33,14.6,3.4,9.0,73.0
2015-12-09 14:15:34,15.2,5.4,4.3,75.0
2015-12-09 14:15:35,13.3,5.6,0.0,81.1
2015-12-09 14:15:36,13.8,4.6,0.0,81.6
2015-12-09 14:15:37,14.4,6.7,0.0,78.9
2015-12-09 14:15:38,12.0,5.4,0.0,82.6
2015-12-09 14:15:39,12.1,4.4,0.0,83.5
2015-12-09 14:15:40,12.4,6.7,0.0,80.9
2015-12-09 14:15:41,14.4,5.6,0.0,80.0
2015-12-09 14:15:42,16.9,5.6,0.0,77.5
2015-12-09 14:15:43,15.7,6.7,7.9,69.7
