Disk Write KB/s iZ25qtxwjqdZ,xvda,xvda1,xvdb,xvdb1
2015-12-09 14:15:01,0.0,0.0,0.0,0.0
2015-12-09 14:15:02,0.0,0.0,0.0,0.0
2015-12-09 14:15:03,0.0,0.0,2222.5,2222.5
2015-12-09 14:15:04,0.0,0.0,4333.1,4333.1
2015-12-09 14:15:05,99.9,99.9,0.0,0.0
2015-12-09 14:15:06,0.0,0.0,0.0,0.0
2015-12-09 14:15:07,0.0,0.0,0.0,0.0
2015-12-09 14:15:08,0.0,0.0,2174.6,2174.6
2015-12-09 14:15:09,0.0,0.0,6603.7,6603.7
2015-12-09 14:15:10,0.0,0.0,0.0,0.0
2015-12-09 14:15:11,12.0,12.0,0.0,0.0
2015-12-09 14:15:12,0.0,0.0,0.0,0.0
2015-12-09 14:15:13,0.0,0.0,2294.6,2294.6
2015-12-09 14:15:14,0.0,0.0,8178.4,8178.4
2015-12-09 14:15:15,0.0,0.0,0.0,0.0
2015-12-09 14:15:16,23.9,23.9,0.0,0.0
2015-12-09 14:15:17,0.0,0.0,0.0,0.0
2015-12-09 14:15:18,0.0,0.0,2802.2,2802.2
2015-12-09 14:15:19,0.0,0.0,9114.4,9114.4
2015-12-09 14:15:20,0.0,0.0,0.0,0.0
2015-12-09 14:15:21,12.0,12.0,0.0,0.0
2015-12-09 14:15:22,0.0,0.0,0.0,0.0
2015-12-09 14:15:23,0.0,0.0,4581.2,4581.2
2015-12-09 14:15:24,16.0,16.0,8994.5,8994.5
2015-12-09 14:15:25,0.0,0.0,0.0,0.0
2015-12-09 14:15:26,15.9,15.9,0.0,0.0
2015-12-09 14:15:27,0.0,0.0,0.0,0.0
2015-12-09 14:15:28,0.0,0.0,4464.4,4464.4
2015-12-09 14:15:29,24.0,24.0,11896.6,11896.6
2015-12-09 14:15:30,0.0,0.0,0.0,0.0
2015-12-09 14:15:31,12.0,12.0,0.0,0.0
2015-12-09 14:15:32,0.0,0.0,0.0,0.0
2015-12-09 14:15:33,0.0,0.0,3904.6,3904.6
2015-12-09 14:15:34,191.9,191.9,13399.8,13399.8
2015-12-09 14:15:35,0.0,0.0,0.0,0.0
2015-12-09 14:15:36,23.9,23.9,0.0,0.0
2015-12-09 14:15:37,0.0,0.0,0.0,0.0
2015-12-09 14:15:38,0.0,0.0,3825.8,3825.8
2015-12-09 14:15:39,0.0,0.0,14094.8,14094.8
2015-12-09 14:15:40,0.0,0.0,0.0,0.0
2015-12-09 14:15:41,12.0,12.0,0.0,0.0
2015-12-09 14:15:42,0.0,0.0,0.0,0.0
2015-12-09 14:15:43,0.0,0.0,4619.9,4619.9
2015-12-09 14:15:44,0.0,0.0,13803.4,13803.4
2015-12-09 14:15:45,0.0,0.0,0.0,0.0
2015-12-09 14:15:46,0.0,0.0,0.0,0.0
2015-12-09 14:15:47,12.0,12.0,0.0,0.0
2015-12-09 14:15:48,0.0,0.0,5340.7,5340.7
2015-12-09 14:15:49,0.0,0.0,14290.5,14290.5
2015-12-09 14:15:50,0.0,0.0,0.0,0.0
2015-12-09 14:15:51,0.0,0.0,0.0,0.0
2015-12-09 14:15:52,12.0,12.0,0.0,0.0
2015-12-09 14:15:53,0.0,0.0,6138.2,6138.2
2015-12-09 14:15:54,12.0,12.0,13603.8,13603.8
2015-12-09 14:15:55,0.0,0.0,0.0,0.0
2015-12-09 14:15:56,0.0,0.0,0.0,0.0
2015-12-09 14:15:57,16.0,16.0,0.0,0.0
2015-12-09 14:15:58,0.0,0.0,6603.6,6603.6
2015-12-09 14:15:59,0.0,0.0,15182.5,15182.5
2015-12-09 14:16:00,0.0,0.0,0.0,0.0
2015-12-09 14:16:01,0.0,0.0,0.0,0.0
2015-12-09 14:16:02,12.0,12.0,0.0,0.0
2015-12-09 14:16:03,0.0,0.0,5320.5,5320.5
2015-12-09 14:16:04,0.0,0.0,16905.7,16905.7
2015-12-09 14:16:05,0.0,0.0,0.0,0.0
2015-12-09 14:16:06,0.0,0.0,0.0,0.0
2015-12-09 14:16:07,12.0,12.0,0.0,0.0
2015-12-09 14:16:08,0.0,0.0,5024.7,5024.7
2015-12-09 14:16:09,48.0,48.0,18771.3,18771.3
2015-12-09 14:16:10,0.0,0.0,0.0,0.0
2015-12-09 14:16:11,0.0,0.0,0.0,0.0
2015-12-09 14:16:12,19.9,19.9,0.0,0.0
2015-12-09 14:16:13,0.0,0.0,6367.9,6367.9
2015-12-09 14:16:14,0.0,0.0,17785.1,17785.1
2015-12-09 14:16:15,0.0,0.0,0.0,0.0
2015-12-09 14:16:16,0.0,0.0,0.0,0.0
2015-12-09 14:16:17,12.0,12.0,0.0,0.0
2015-12-09 14:16:18,0.0,0.0,8440.8,8440.8
2015-12-09 14:16:19,0.0,0.0,15793.9,15793.9
2015-12-09 14:16:20,0.0,0.0,0.0,0.0
2015-12-09 14:16:21,0.0,0.0,0.0,0.0
2015-12-09 14:16:22,16.0,16.0,0.0,0.0
2015-12-09 14:16:23,0.0,0.0,5891.9,5891.9
2015-12-09 14:16:24,12.0,12.0,16966.8,16966.8
2015-12-09 14:16:25,0.0,0.0,0.0,0.0
2015-12-09 14:16:26,0.0,0.0,0.0,0.0
2015-12-09 14:16:27,15.9,15.9,0.0,0.0
2015-12-09 14:16:28,0.0,0.0,8282.8,8282.8
2015-12-09 14:16:29,0.0,0.0,15186.7,15186.7
2015-12-09 14:16:30,0.0,0.0,0.0,0.0
2015-12-09 14:16:31,0.0,0.0,0.0,0.0
2015-12-09 14:16:32,12.0,12.0,0.0,0.0
2015-12-09 14:16:33,0.0,0.0,7735.0,7735.0
2015-12-09 14:16:34,0.0,0.0,17232.3,17232.3
2015-12-09 14:16:35,0.0,0.0,0.0,0.0
2015-12-09 14:16:36,0.0,0.0,0.0,0.0
2015-12-09 14:16:37,12.0,12.0,0.0,0.0
2015-12-09 14:16:38,0.0,0.0,7858.5,7858.5
2015-12-09 14:16:39,0.0,0.0,17608.1,17608.1
2015-12-09 14:16:40,0.0,0.0,0.0,0.0
2015-12-09 14:16:41,0.0,0.0,0.0,0.0
2015-12-09 14:16:42,12.0,12.0,0.0,0.0
2015-12-09 14:16:43,0.0,0.0,9566.0,9566.0
2015-12-09 14:16:44,36.0,36.0,16461.2,16461.2
2015-12-09 14:16:45,0.0,0.0,0.0,0.0
2015-12-09 14:16:46,0.0,0.0,0.0,0.0
2015-12-09 14:16:47,19.9,19.9,0.0,0.0
2015-12-09 14:16:48,0.0,0.0,7923.1,7923.1
2015-12-09 14:16:49,0.0,0.0,15625.9,15625.9
2015-12-09 14:16:50,0.0,0.0,0.0,0.0
2015-12-09 14:16:51,0.0,0.0,0.0,0.0
2015-12-09 14:16:52,12.0,12.0,0.0,0.0
2015-12-09 14:16:53,0.0,0.0,5955.9,5955.9
2015-12-09 14:16:54,16.0,16.0,17489.2,17489.2
2015-12-09 14:16:55,0.0,0.0,0.0,0.0
2015-12-09 14:16:56,0.0,0.0,0.0,0.0
2015-12-09 14:16:57,0.0,0.0,0.0,0.0
2015-12-09 14:16:58,16.0,16.0,6871.7,6871.7
2015-12-09 14:16:59,0.0,0.0,15829.4,15829.4
2015-12-09 14:17:00,0.0,0.0,0.0,0.0
2015-12-09 14:17:01,0.0,0.0,0.0,0.0
2015-12-09 14:17:02,0.0,0.0,0.0,0.0
2015-12-09 14:17:03,0.0,0.0,7167.7,7167.7
2015-12-09 14:17:04,16.0,16.0,20115.2,20115.2
2015-12-09 14:17:05,0.0,0.0,0.0,0.0
2015-12-09 14:17:06,0.0,0.0,0.0,0.0
2015-12-09 14:17:07,0.0,0.0,0.0,0.0
2015-12-09 14:17:08,0.0,0.0,7091.5,7091.5
2015-12-09 14:17:09,0.0,0.0,19562.9,19562.9
2015-12-09 14:17:10,12.0,12.0,0.0,0.0
