Disk transfers per second iZ25qtxwjqdZ,xvda,xvda1,xvdb,xvdb1
2015-12-09 14:15:01,28.8,28.2,0.7,0.0
2015-12-09 14:15:02,0.0,0.0,0.0,0.0
2015-12-09 14:15:03,0.0,0.0,51.0,51.0
2015-12-09 14:15:04,0.0,0.0,101.9,101.9
2015-12-09 14:15:05,4.0,4.0,0.0,0.0
2015-12-09 14:15:06,0.0,0.0,0.0,0.0
2015-12-09 14:15:07,0.0,0.0,0.0,0.0
2015-12-09 14:15:08,0.0,0.0,50.0,50.0
2015-12-09 14:15:09,0.0,0.0,152.9,152.9
2015-12-09 14:15:10,0.0,0.0,0.0,0.0
2015-12-09 14:15:11,2.0,2.0,0.0,0.0
2015-12-09 14:15:12,0.0,0.0,0.0,0.0
2015-12-09 14:15:13,0.0,0.0,53.0,53.0
2015-12-09 14:15:14,0.0,0.0,195.9,195.9
2015-12-09 14:15:15,0.0,0.0,0.0,0.0
2015-12-09 14:15:16,2.0,2.0,0.0,0.0
2015-12-09 14:15:17,0.0,0.0,0.0,0.0
2015-12-09 14:15:18,0.0,0.0,65.0,65.0
2015-12-09 14:15:19,0.0,0.0,211.9,211.9
2015-12-09 14:15:20,0.0,0.0,0.0,0.0
2015-12-09 14:15:21,2.0,2.0,0.0,0.0
2015-12-09 14:15:22,0.0,0.0,0.0,0.0
2015-12-09 14:15:23,0.0,0.0,106.9,106.9
2015-12-09 14:15:24,2.0,2.0,206.9,206.9
2015-12-09 14:15:25,0.0,0.0,0.0,0.0
2015-12-09 14:15:26,2.0,2.0,0.0,0.0
2015-12-09 14:15:27,0.0,0.0,0.0,0.0
2015-12-09 14:15:28,0.0,0.0,102.9,102.9
2015-12-09 14:15:29,6.0,6.0,274.8,274.8
2015-12-09 14:15:30,0.0,0.0,0.0,0.0
2015-12-09 14:15:31,2.0,2.0,0.0,0.0
2015-12-09 14:15:32,0.0,0.0,0.0,0.0
2015-12-09 14:15:33,0.0,0.0,88.8,88.8
2015-12-09 14:15:34,34.0,34.0,306.8,306.8
2015-12-09 14:15:35,0.0,0.0,0.0,0.0
2015-12-09 14:15:36,2.0,2.0,0.0,0.0
2015-12-09 14:15:37,0.0,0.0,0.0,0.0
2015-12-09 14:15:38,0.0,0.0,86.9,86.9
2015-12-09 14:15:39,0.0,0.0,325.8,325.8
2015-12-09 14:15:40,0.0,0.0,0.0,0.0
2015-12-09 14:15:41,2.0,2.0,0.0,0.0
2015-12-09 14:15:42,0.0,0.0,0.0,0.0
2015-12-09 14:15:43,0.0,0.0,105.9,105.9
2015-12-09 14:15:44,0.0,0.0,316.8,316.8
2015-12-09 14:15:45,0.0,0.0,0.0,0.0
2015-12-09 14:15:46,0.0,0.0,0.0,0.0
2015-12-09 14:15:47,2.0,2.0,0.0,0.0
2015-12-09 14:15:48,0.0,0.0,121.9,121.9
2015-12-09 14:15:49,0.0,0.0,334.8,334.8
2015-12-09 14:15:50,0.0,0.0,0.0,0.0
2015-12-09 14:15:51,0.0,0.0,0.0,0.0
2015-12-09 14:15:52,2.0,2.0,0.0,0.0
2015-12-09 14:15:53,0.0,0.0,140.9,140.9
2015-12-09 14:15:54,2.0,2.0,310.8,310.8
2015-12-09 14:15:55,0.0,0.0,1.0,1.0
2015-12-09 14:15:56,0.0,0.0,0.0,0.0
2015-12-09 14:15:57,2.0,2.0,0.0,0.0
2015-12-09 14:15:58,0.0,0.0,150.9,150.9
2015-12-09 14:15:59,0.0,0.0,349.8,349.8
2015-12-09 14:16:00,0.0,0.0,0.0,0.0
2015-12-09 14:16:01,0.0,0.0,0.0,0.0
2015-12-09 14:16:02,2.0,2.0,0.0,0.0
2015-12-09 14:16:03,0.0,0.0,120.9,120.9
2015-12-09 14:16:04,0.0,0.0,388.8,388.8
2015-12-09 14:16:05,0.0,0.0,0.0,0.0
2015-12-09 14:16:06,0.0,0.0,0.0,0.0
2015-12-09 14:16:07,2.0,2.0,0.0,0.0
2015-12-09 14:16:08,0.0,0.0,114.9,114.9
2015-12-09 14:16:09,6.0,6.0,429.7,429.7
2015-12-09 14:16:10,0.0,0.0,0.0,0.0
2015-12-09 14:16:11,0.0,0.0,0.0,0.0
2015-12-09 14:16:12,2.0,2.0,0.0,0.0
2015-12-09 14:16:13,0.0,0.0,145.9,145.9
2015-12-09 14:16:14,0.0,0.0,409.8,409.8
2015-12-09 14:16:15,0.0,0.0,0.0,0.0
2015-12-09 14:16:16,0.0,0.0,0.0,0.0
2015-12-09 14:16:17,2.0,2.0,0.0,0.0
2015-12-09 14:16:18,0.0,0.0,192.8,192.8
2015-12-09 14:16:19,0.0,0.0,362.8,362.8
2015-12-09 14:16:20,0.0,0.0,0.0,0.0
2015-12-09 14:16:21,0.0,0.0,0.0,0.0
2015-12-09 14:16:22,2.0,2.0,1.0,1.0
2015-12-09 14:16:23,0.0,0.0,133.9,133.9
2015-12-09 14:16:24,2.0,2.0,393.7,393.7
2015-12-09 14:16:25,0.0,0.0,0.0,0.0
2015-12-09 14:16:26,0.0,0.0,0.0,0.0
2015-12-09 14:16:27,2.0,2.0,0.0,0.0
2015-12-09 14:16:28,0.0,0.0,188.9,188.9
2015-12-09 14:16:29,0.0,0.0,347.7,347.7
2015-12-09 14:16:30,0.0,0.0,0.0,0.0
2015-12-09 14:16:31,0.0,0.0,0.0,0.0
2015-12-09 14:16:32,2.0,2.0,0.0,0.0
2015-12-09 14:16:33,0.0,0.0,177.9,177.9
2015-12-09 14:16:34,0.0,0.0,394.7,394.7
2015-12-09 14:16:35,0.0,0.0,0.0,0.0
2015-12-09 14:16:36,0.0,0.0,0.0,0.0
2015-12-09 14:16:37,2.0,2.0,0.0,0.0
2015-12-09 14:16:38,0.0,0.0,179.9,179.9
2015-12-09 14:16:39,0.0,0.0,405.6,405.6
2015-12-09 14:16:40,0.0,0.0,0.0,0.0
2015-12-09 14:16:41,0.0,0.0,0.0,0.0
2015-12-09 14:16:42,2.0,2.0,0.0,0.0
2015-12-09 14:16:43,0.0,0.0,217.9,217.9
2015-12-09 14:16:44,3.0,3.0,379.8,379.8
2015-12-09 14:16:45,0.0,0.0,0.0,0.0
2015-12-09 14:16:46,0.0,0.0,0.0,0.0
2015-12-09 14:16:47,2.0,2.0,0.0,0.0
2015-12-09 14:16:48,0.0,0.0,181.9,181.9
2015-12-09 14:16:49,0.0,0.0,358.8,358.8
2015-12-09 14:16:50,0.0,0.0,0.0,0.0
2015-12-09 14:16:51,0.0,0.0,0.0,0.0
2015-12-09 14:16:52,2.0,2.0,0.0,0.0
2015-12-09 14:16:53,0.0,0.0,135.9,135.9
2015-12-09 14:16:54,3.0,3.0,401.8,401.8
2015-12-09 14:16:55,0.0,0.0,0.0,0.0
2015-12-09 14:16:56,0.0,0.0,0.0,0.0
2015-12-09 14:16:57,0.0,0.0,0.0,0.0
2015-12-09 14:16:58,2.0,2.0,157.9,157.9
2015-12-09 14:16:59,0.0,0.0,366.8,366.8
2015-12-09 14:17:00,0.0,0.0,0.0,0.0
2015-12-09 14:17:01,0.0,0.0,0.0,0.0
2015-12-09 14:17:02,0.0,0.0,0.0,0.0
2015-12-09 14:17:03,0.0,0.0,163.9,163.9
2015-12-09 14:17:04,2.0,2.0,461.7,461.7
2015-12-09 14:17:05,0.0,0.0,0.0,0.0
2015-12-09 14:17:06,0.0,0.0,0.0,0.0
2015-12-09 14:17:07,0.0,0.0,0.0,0.0
2015-12-09 14:17:08,0.0,0.0,161.9,161.9
2015-12-09 14:17:09,0.0,0.0,447.6,447.6
2015-12-09 14:17:10,2.0,2.0,0.0,0.0
2015-12-09 14:17:11,0.0,0.0,0.0,0.0
2015-12-09 14:17:12,0.0,0.0,0.0,0.0
2015-12-09 14:17:13,0.0,0.0,157.9,157.9
2015-12-09 14:17:14,0.0,0.0,452.7,452.7
2015-12-09 14:17:15,0.0,0.0,0.0,0.0
2015-12-09 14:17:16,2.0,2.0,0.0,0.0
2015-12-09 14:17:17,0.0,0.0,0.0,0.0
2015-12-09 14:17:18,0.0,0.0,243.9,243.9
2015-12-09 14:17:19,3.0,3.0,300.8,300.8
2015-12-09 14:17:20,0.0,0.0,0.0,0.0
2015-12-09 14:17:21,0.0,0.0,0.0,0.0
2015-12-09 14:17:22,2.0,2.0,0.0,0.0
2015-12-09 14:17:23,0.0,0.0,251.8,251.8
2015-12-09 14:17:24,2.0,2.0,345.7,345.7
2015-12-09 14:17:25,0.0,0.0,0.0,0.0
2015-12-09 14:17:26,0.0,0.0,0.0,0.0
2015-12-09 14:17:27,0.0,0.0,0.0,0.0
2015-12-09 14:17:28,2.0,2.0,48.0,48.0
2015-12-09 14:17:29,0.0,0.0,490.3,490.3
2015-12-09 14:17:30,0.0,0.0,0.0,0.0
2015-12-09 14:17:31,0.0,0.0,0.0,0.0
2015-12-09 14:17:32,0.0,0.0,0.0,0.0
2015-12-09 14:17:33,0.0,0.0,47.0,47.0
2015-12-09 14:17:34,3.0,3.0,541.2,541.2
2015-12-09 14:17:35,0.0,0.0,0.0,0.0
2015-12-09 14:17:36,0.0,0.0,0.0,0.0
2015-12-09 14:17:37,0.0,0.0,0.0,0.0
2015-12-09 14:17:38,0.0,0.0,48.0,48.0
2015-12-09 14:17:39,2.0,2.0,556.8,556.8
2015-12-09 14:17:40,0.0,0.0,0.0,0.0
2015-12-09 14:17:41,0.0,0.0,0.0,0.0
2015-12-09 14:17:42,0.0,0.0,0.0,0.0
2015-12-09 14:17:43,0.0,0.0,41.9,41.9
2015-12-09 14:17:44,2.0,2.0,546.6,546.6
2015-12-09 14:17:45,0.0,0.0,0.0,0.0
2015-12-09 14:17:46,0.0,0.0,0.0,0.0
2015-12-09 14:17:47,0.0,0.0,0.0,0.0
2015-12-09 14:17:48,0.0,0.0,68.9,68.9
2015-12-09 14:17:49,2.0,2.0,529.4,529.4
2015-12-09 14:17:50,0.0,0.0,0.0,0.0
2015-12-09 14:17:51,0.0,0.0,0.0,0.0
2015-12-09 14:17:52,0.0,0.0,0.0,0.0
2015-12-09 14:17:53,0.0,0.0,58.0,58.0
2015-12-09 14:17:54,7.0,7.0,543.3,543.3
2015-12-09 14:17:55,0.0,0.0,0.0,0.0
2015-12-09 14:17:56,0.0,0.0,0.0,0.0
2015-12-09 14:17:57,0.0,0.0,0.0,0.0
2015-12-09 14:17:58,0.0,0.0,75.0,75.0
2015-12-09 14:17:59,2.0,2.0,480.1,480.1
2015-12-09 14:18:00,0.0,0.0,0.0,0.0
2015-12-09 14:18:01,0.0,0.0,0.0,0.0
2015-12-09 14:18:02,0.0,0.0,1.0,1.0
2015-12-09 14:18:03,0.0,0.0,58.9,58.9
2015-12-09 14:18:04,2.0,2.0,533.9,533.9
2015-12-09 14:18:05,0.0,0.0,0.0,0.0
2015-12-09 14:18:06,0.0,0.0,0.0,0.0
2015-12-09 14:18:07,0.0,0.0,0.0,0.0
2015-12-09 14:18:08,0.0,0.0,66.9,66.9
2015-12-09 14:18:09,3.0,3.0,553.5,553.5
2015-12-09 14:18:10,0.0,0.0,0.0,0.0
2015-12-09 14:18:11,0.0,0.0,0.0,0.0
2015-12-09 14:18:12,0.0,0.0,0.0,0.0
2015-12-09 14:18:13,0.0,0.0,122.9,122.9
2015-12-09 14:18:14,2.0,2.0,511.5,511.5
2015-12-09 14:18:15,0.0,0.0,0.0,0.0
2015-12-09 14:18:16,0.0,0.0,0.0,0.0
2015-12-09 14:18:17,0.0,0.0,0.0,0.0
2015-12-09 14:18:18,0.0,0.0,111.9,111.9
2015-12-09 14:18:19,0.0,0.0,476.7,476.7
2015-12-09 14:18:20,2.0,2.0,0.0,0.0
2015-12-09 14:18:21,0.0,0.0,0.0,0.0
2015-12-09 14:18:22,0.0,0.0,0.0,0.0
2015-12-09 14:18:23,0.0,0.0,78.0,78.0
2015-12-09 14:18:24,1.0,1.0,518.5,518.5
2015-12-09 14:18:25,0.0,0.0,0.0,0.0
2015-12-09 14:18:26,2.0,2.0,0.0,0.0
2015-12-09 14:18:27,0.0,0.0,0.0,0.0
2015-12-09 14:18:28,0.0,0.0,88.9,88.9
2015-12-09 14:18:29,3.0,3.0,542.5,542.5
2015-12-09 14:18:30,0.0,0.0,0.0,0.0
2015-12-09 14:18:31,2.0,2.0,0.0,0.0
2015-12-09 14:18:32,0.0,0.0,0.0,0.0
