Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
2015-12-09 14:15:01,966,0,0,1343,11616,-1,1052,0,0,0,20464,47,0,29078,12,0,0,0,0,0,0,0,0,16399,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:02,1233,0,0,1343,11637,-1,0,0,0,0,9502,19,0,34,0,0,0,0,0,0,0,0,0,7563,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:03,49,1096,0,1343,11637,-1,0,6556,0,0,9079,21,0,40,0,0,0,0,0,0,0,0,0,7677,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:04,382,0,0,1343,11637,-1,0,4,0,0,8943,14,0,21,0,0,0,0,0,0,0,0,0,7256,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:05,782,0,0,1343,11637,-1,0,100,0,0,10349,0,0,2,0,0,0,0,0,0,0,0,0,7914,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:06,1291,0,0,1343,11637,-1,0,0,0,0,10951,41,0,4,0,0,0,0,0,0,0,0,0,9164,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:07,1734,0,0,1343,11637,-1,0,0,0,0,11560,26,0,5,0,0,0,0,0,0,0,0,0,9045,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:08,24,1626,0,1343,11637,-1,0,8780,0,0,10973,30,0,1,0,0,0,0,0,0,0,0,0,8729,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:09,382,0,0,1343,11637,-1,0,4,0,0,9005,14,0,0,0,0,0,0,0,0,0,0,0,7318,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:10,932,0,0,1343,11637,-1,0,8,0,0,11969,31,0,5,0,0,0,0,0,0,0,0,0,9180,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:11,1469,0,0,1343,11637,-1,0,4,0,0,12195,34,0,38,0,0,0,0,0,0,0,0,0,9358,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:12,2114,0,0,1343,11637,-1,0,0,0,0,20182,16,0,1,0,0,0,0,0,1,0,0,0,5901,0,0,0,0,0,0,0,0,6111,0,0,0,0
2015-12-09 14:15:13,115,2029,0,1343,11637,-1,0,10476,0,0,12026,28,0,69,0,0,0,0,0,0,0,0,0,9735,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:14,451,0,0,1343,11637,-1,0,4,0,0,10724,26,0,50,0,0,0,0,0,0,0,0,0,8039,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:15,939,0,0,1343,11637,-1,0,20,0,0,12849,25,0,1,0,0,0,0,0,0,0,0,0,10564,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:16,1728,0,0,1343,11637,-1,0,4,0,0,14254,30,0,1,0,0,0,0,0,0,0,0,0,11777,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:17,2331,0,0,1343,11637,-1,0,0,0,0,13817,31,0,1,0,0,0,0,0,0,0,0,0,10600,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:18,588,1699,0,1343,11637,-1,0,9628,0,0,13920,28,0,2,0,0,0,0,0,0,0,0,0,11591,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:19,428,0,0,1343,11637,-1,0,2296,0,0,9728,0,0,0,0,0,0,0,0,0,0,0,0,7915,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:20,1105,0,0,1343,11637,-1,0,8,0,0,14434,54,0,5,0,0,0,0,0,0,0,0,0,11087,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:21,1922,0,0,1343,11637,-1,0,4,0,0,14927,26,0,2,0,0,0,0,0,0,0,0,0,11983,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:22,2689,0,0,1343,11637,-1,0,0,0,0,13675,30,0,184,0,0,0,0,0,0,0,0,0,11437,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:23,633,1626,0,1343,11637,-1,4,11096,0,0,14824,21,0,1,0,0,0,0,0,0,0,0,0,11900,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:24,827,0,0,1343,11637,-1,0,2504,0,0,15012,40,0,6,0,0,0,0,0,0,0,0,0,3808,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:25,1582,0,0,1343,11637,-1,0,12,0,0,15365,42,0,1,0,0,0,0,0,0,0,0,0,2877,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:26,2384,0,0,1343,11637,-1,0,4,0,0,24206,35,0,3,0,0,1024,0,0,1,0,0,0,12562,0,0,0,0,0,0,0,0,6099,0,0,0,0
2015-12-09 14:15:27,3173,0,0,1343,11637,-1,0,0,0,0,15721,42,0,2,0,0,0,0,0,0,0,0,0,12567,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:28,1376,1628,0,1343,11637,-1,0,11088,0,0,15887,42,0,3,0,0,0,0,0,0,0,0,0,12938,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:29,722,0,0,1343,11637,-1,0,5308,0,0,14334,20,0,1,0,0,0,0,0,0,0,0,0,11503,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:30,1588,0,0,1343,11637,-1,0,8,0,0,15861,35,0,2,0,0,0,0,0,0,0,0,0,13165,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:31,2548,0,0,1343,11637,-1,0,4,0,0,17090,47,0,4,0,0,0,0,0,0,0,0,0,13424,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:32,3381,0,0,1343,11637,-1,0,0,0,0,16546,53,0,2,0,0,0,0,0,0,0,0,0,13346,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:33,1932,1498,0,1343,11637,-1,0,9792,0,0,16702,57,0,4,0,0,0,0,0,0,0,0,0,14031,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:34,786,0,0,1343,11637,-1,0,7720,0,0,15884,33,0,2,0,0,0,0,0,0,0,0,0,13135,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:35,1621,0,0,1343,11637,-1,0,20,0,0,24363,38,0,5,0,0,0,0,0,1,0,0,0,16380,0,0,0,0,0,0,0,0,6088,0,0,0,0
2015-12-09 14:15:36,2555,0,0,1343,11637,-1,0,4,0,0,17684,41,0,3,0,0,0,0,0,0,0,0,0,14712,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:37,3566,0,0,1343,11637,-1,0,0,0,0,17865,61,0,2,0,0,0,0,0,0,0,0,0,13947,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:38,964,2594,0,1343,11637,-1,0,14180,0,0,17353,65,0,1,0,0,0,0,0,0,0,0,0,14668,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:39,754,0,0,1344,11637,-1,0,3752,0,0,13144,52,0,219,0,0,0,0,0,0,0,0,0,10944,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-09 14:15:40,1718,0,0,1344,11637,-1,0,0,0,0,17864,26,0,2,0,0,0,0,0,0,0,0,0,14024,0,0,0,0,0,0,0,0,0,0,0,0,0
