CPU 1 iZ25qtxwjqdZ,User%,Sys%,Wait%,Idle%
2015-12-09 14:15:01,28.4,9.5,2.6,59.5
2015-12-09 14:15:02,22.9,10.8,0.0,66.3
2015-12-09 14:15:03,23.5,9.4,7.1,60.0
2015-12-09 14:15:04,22.4,8.2,10.6,58.8
2015-12-09 14:15:05,30.5,9.8,0.0,59.8
2015-12-09 14:15:06,29.1,14.0,0.0,57.0
2015-12-09 14:15:07,31.0,13.1,0.0,56.0
2015-12-09 14:15:08,25.3,12.0,4.8,57.8
2015-12-09 14:15:09,19.8,8.1,15.1,57.0
2015-12-09 14:15:10,29.6,9.9,0.0,60.5
2015-12-09 14:15:11,26.5,12.0,0.0,61.4
2015-12-09 14:15:12,31.8,15.3,0.0,52.9
2015-12-09 14:15:13,25.6,11.0,6.1,57.3
2015-12-09 14:15:14,23.3,11.6,0.0,65.1
2015-12-09 14:15:15,31.7,11.0,0.0,57.3
2015-12-09 14:15:16,33.3,15.5,0.0,51.2
2015-12-09 14:15:17,30.5,11.0,0.0,58.5
2015-12-09 14:15:18,32.5,15.0,0.0,52.5
2015-12-09 14:15:19,22.1,8.1,9.3,60.5
2015-12-09 14:15:20,38.1,15.5,0.0,46.4
2015-12-09 14:15:21,33.3,13.6,1.2,51.9
2015-12-09 14:15:22,29.3,11.0,0.0,59.8
2015-12-09 14:15:23,39.0,15.9,4.9,40.2
2015-12-09 14:15:24,37.0,17.3,1.2,44.4
2015-12-09 14:15:25,37.8,13.4,0.0,48.8
2015-12-09 14:15:26,35.0,15.0,1.2,48.8
2015-12-09 14:15:27,38.6,14.5,0.0,47.0
2015-12-09 14:15:28,39.5,13.6,4.9,42.0
2015-12-09 14:15:29,38.6,14.5,1.2,45.8
2015-12-09 14:15:30,38.6,15.7,0.0,45.8
2015-12-09 14:15:31,41.0,15.7,0.0,43.4
2015-12-09 14:15:32,39.8,16.9,0.0,43.4
2015-12-09 14:15:33,39.0,15.9,0.0,45.1
2015-12-09 14:15:34,34.2,15.2,16.5,34.2
2015-12-09 14:15:35,37.6,16.5,0.0,45.9
2015-12-09 14:15:36,41.5,15.9,0.0,42.7
2015-12-09 14:15:37,40.7,16.0,0.0,43.2
2015-12-09 14:15:38,42.7,17.1,6.1,34.1
2015-12-09 14:15:39,32.6,10.5,17.4,39.5
2015-12-09 14:15:40,41.8,17.7,0.0,40.5
2015-12-09 14:15:41,39.7,14.1,0.0,46.2
