CPU Total iZ25qtxwjqdZ,User%,Sys%,Wait%,Idle%,Busy,CPUs
2015-12-09 14:15:01,9.9,4.5,3.7,82.0,,4
2015-12-09 14:15:02,7.6,3.8,0.0,88.6,,4
2015-12-09 14:15:03,8.6,3.5,1.6,86.4,,4
2015-12-09 14:15:04,8.4,3.0,2.4,86.3,,4
2015-12-09 14:15:05,10.8,3.8,0.3,85.2,,4
2015-12-09 14:15:06,10.8,4.9,0.0,84.3,,4
2015-12-09 14:15:07,11.3,5.4,0.0,83.3,,4
2015-12-09 14:15:08,11.7,4.4,1.1,82.8,,4
2015-12-09 14:15:09,7.8,3.2,4.1,84.9,,4
2015-12-09 14:15:10,12.1,4.1,0.0,83.8,,4
2015-12-09 14:15:11,11.1,5.3,0.0,83.7,,4
2015-12-09 14:15:12,12.5,5.7,0.0,81.8,,4
2015-12-09 14:15:13,10.9,4.5,3.1,81.6,,4
2015-12-09 14:15:14,10.0,4.6,4.0,81.4,,4
2015-12-09 14:15:15,12.8,5.0,0.0,82.2,,4
2015-12-09 14:15:16,14.0,6.3,0.0,79.6,,4
2015-12-09 14:15:17,14.0,6.1,0.0,79.9,,4
2015-12-09 14:15:18,13.9,5.8,3.3,76.9,,4
2015-12-09 14:15:19,8.6,3.8,3.8,83.8,,4
2015-12-09 14:15:20,15.4,6.0,0.0,78.6,,4
2015-12-09 14:15:21,15.3,5.8,0.3,78.6,,4
2015-12-09 14:15:22,15.2,5.8,0.0,78.9,,4
2015-12-09 14:15:23,15.8,6.4,2.8,75.0,,4
2015-12-09 14:15:24,15.5,6.6,2.8,75.1,,4
2015-12-09 14:15:25,17.8,7.0,0.0,75.2,,4
2015-12-09 14:15:26,17.5,7.3,0.0,75.1,,4
2015-12-09 14:15:27,17.5,6.7,0.0,75.8,,4
2015-12-09 14:15:28,17.7,5.9,2.5,73.9,,4
2015-12-09 14:15:29,16.0,6.1,4.7,73.3,,4
2015-12-09 14:15:30,18.0,7.2,0.0,74.9,,4
2015-12-09 14:15:31,20.6,7.3,0.0,72.1,,4
2015-12-09 14:15:32,18.8,7.5,0.0,73.7,,4
2015-12-09 14:15:33,18.3,7.0,4.2,70.5,,4
2015-12-09 14:15:34,16.9,6.7,5.3,71.1,,4
2015-12-09 14:15:35,18.2,7.8,0.0,73.9,,4
2015-12-09 14:15:36,20.1,7.1,0.0,72.9,,4
2015-12-09 14:15:37,19.3,8.2,0.0,72.5,,4
2015-12-09 14:15:38,18.8,7.8,3.9,69.5,,4
2015-12-09 14:15:39,14.9,5.5,8.0,71.6,,4
2015-12-09 14:15:40,19.9,8.0,0.0,72.2,,4
2015-12-09 14:15:41,20.2,7.2,0.0,72.6,,4
2015-12-09 14:15:42,20.2,7.7,0.0,72.2,,4
2015-12-09 14:15:43,20.9,8.5,3.1,67.5,,4
2015-12-09 14:15:44,12.6,5.4,7.0,75.1,,4
2015-12-09 14:15:45,20.1,7.3,0.0,72.6,,4
2015-12-09 14:15:46,21.7,8.5,0.0,69.8,,4
2015-12-09 14:15:47,22.3,9.3,0.0,68.4,,4
2015-12-09 14:15:48,21.5,7.4,2.3,68.8,,4
2015-12-09 14:15:49,17.8,7.2,7.8,67.2,,4
2015-12-09 14:15:50,19.8,6.9,0.0,73.4,,4
2015-12-09 14:15:51,21.2,8.8,0.0,70.1,,4
2015-12-09 14:15:52,22.3,8.3,0.0,69.4,,4
2015-12-09 14:15:53,20.6,8.0,2.6,68.9,,4
2015-12-09 14:15:54,20.3,8.2,4.8,66.8,,4
2015-12-09 14:15:55,21.2,8.5,0.3,70.0,,4
2015-12-09 14:15:56,22.7,8.9,0.0,68.4,,4
2015-12-09 14:15:57,22.2,9.1,0.0,68.8,,4
2015-12-09 14:15:58,22.8,9.0,5.4,62.8,,4
2015-12-09 14:15:59,18.5,7.6,2.8,71.1,,4
2015-12-09 14:16:00,21.7,8.0,0.0,70.3,,4
2015-12-09 14:16:01,22.6,8.9,0.0,68.5,,4
2015-12-09 14:16:02,23.6,8.5,0.0,67.9,,4
2015-12-09 14:16:03,22.1,8.9,4.0,65.0,,4
2015-12-09 14:16:04,20.7,7.6,5.3,66.4,,4
2015-12-09 14:16:05,23.0,8.8,0.0,68.2,,4
2015-12-09 14:16:06,24.8,9.7,0.0,65.5,,4
2015-12-09 14:16:07,22.2,9.8,0.0,68.0,,4
2015-12-09 14:16:08,25.2,9.9,2.3,62.6,,4
2015-12-09 14:16:09,19.8,8.1,6.4,65.6,,4
2015-12-09 14:16:10,23.1,8.0,0.0,68.9,,4
