JFS Filespace %Used iZ25qtxwjqdZ,/,/dev,/run,/,/dev/mqueue,/dev/hugepages,/opt
2015-12-09 14:15:01,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:02,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:03,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:04,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:05,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:06,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:07,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:08,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:09,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:10,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:11,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:12,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:13,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:14,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:15,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:16,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:17,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:18,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:19,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:20,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:21,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:22,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:23,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:24,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:25,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:26,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:27,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:28,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:29,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:30,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:31,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:32,10.7,0.0,0.3,10.7,-nan,-nan,36.1
2015-12-09 14:15:33,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:34,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:35,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:36,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:37,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:38,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:39,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:40,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:41,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:42,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:43,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:44,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:45,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:46,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:47,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:48,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:49,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:50,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:51,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:52,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:53,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:54,10.7,0.0,0.3,10.7,-nan,-nan,36.2
2015-12-09 14:15:55,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:15:56,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:15:57,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:15:58,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:15:59,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:00,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:01,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:02,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:03,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:04,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:05,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:06,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:07,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:08,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:09,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:10,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:11,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:12,10.7,0.0,0.3,10.7,-nan,-nan,36.3
2015-12-09 14:16:13,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:14,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:15,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:16,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:17,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:18,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:19,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:20,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:21,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:22,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:23,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:24,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:25,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:26,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:27,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:28,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:29,10.7,0.0,0.3,10.7,-nan,-nan,36.4
2015-12-09 14:16:30,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:31,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:32,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:33,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:34,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:35,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:36,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:37,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:38,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:39,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:40,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:41,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:42,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:43,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:44,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:45,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:46,10.7,0.0,0.3,10.7,-nan,-nan,36.5
2015-12-09 14:16:47,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:16:48,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:16:49,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:16:50,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:16:51,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:16:52,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:16:53,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:16:54,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:16:55,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:16:56,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:16:57,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:16:58,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:16:59,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:17:00,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:17:01,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:17:02,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:17:03,10.7,0.0,0.3,10.7,-nan,-nan,36.6
2015-12-09 14:17:04,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:05,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:06,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:07,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:08,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:09,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:10,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:11,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:12,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:13,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:14,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:15,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:16,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:17,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:18,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:19,10.7,0.0,0.3,10.7,-nan,-nan,36.7
2015-12-09 14:17:20,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:21,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:22,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:23,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:24,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:25,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:26,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:27,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:28,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:29,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:30,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:31,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:32,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:33,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:34,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:35,10.7,0.0,0.3,10.7,-nan,-nan,36.8
2015-12-09 14:17:36,10.7,0.0,0.3,10.7,-nan,-nan,36.9
2015-12-09 14:17:37,10.7,0.0,0.3,10.7,-nan,-nan,36.9
2015-12-09 14:17:38,10.7,0.0,0.3,10.7,-nan,-nan,36.9
2015-12-09 14:17:39,10.7,0.0,0.3,10.7,-nan,-nan,36.9
