Network I/O iZ25qtxwjqdZ,eth0-read-KB/s,eth1-read-KB/s,lo-read-KB/s,eth0-write-KB/s,eth1-write-KB/s,lo-write-KB/s,
2015-12-09 14:15:01,988.6,0.0,0.0,1555.9,0.1,0.0,
2015-12-09 14:15:02,1047.2,0.0,0.0,1482.1,0.0,0.0,
2015-12-09 14:15:03,1034.5,0.0,0.0,1530.9,0.0,0.0,
2015-12-09 14:15:04,1000.7,0.0,0.0,1545.1,0.5,0.0,
2015-12-09 14:15:05,1184.9,0.0,0.0,1861.3,0.0,0.0,
2015-12-09 14:15:06,1250.3,0.0,0.0,1877.5,0.0,0.0,
2015-12-09 14:15:07,1269.4,0.0,0.0,1964.1,0.0,0.0,
2015-12-09 14:15:08,1252.1,0.0,0.0,1913.7,0.0,0.0,
2015-12-09 14:15:09,993.4,0.0,0.0,1614.5,0.0,0.0,
2015-12-09 14:15:10,1320.7,0.0,0.0,2149.4,0.0,0.0,
2015-12-09 14:15:11,1384.0,0.0,0.0,2211.4,0.0,0.0,
2015-12-09 14:15:12,1393.8,0.0,0.0,2324.2,0.0,0.0,
2015-12-09 14:15:13,1342.0,0.1,0.0,2098.6,0.9,0.0,
2015-12-09 14:15:14,1187.5,0.0,0.0,1793.8,0.0,0.0,
2015-12-09 14:15:15,1464.3,0.0,0.0,2305.0,0.0,0.0,
2015-12-09 14:15:16,1577.2,0.0,0.0,2692.0,0.0,0.0,
2015-12-09 14:15:17,1560.5,0.0,0.0,2628.6,0.0,0.0,
2015-12-09 14:15:18,1558.3,0.0,0.0,2433.4,0.0,0.0,
2015-12-09 14:15:19,1078.4,0.0,0.0,1749.6,0.0,0.0,
2015-12-09 14:15:20,1609.5,0.0,0.0,2744.3,0.0,0.0,
2015-12-09 14:15:21,1684.0,0.0,0.0,2915.2,0.0,0.0,
2015-12-09 14:15:22,1516.4,0.0,0.0,2787.1,0.0,0.0,
2015-12-09 14:15:23,1676.9,0.0,0.0,2851.4,0.0,0.0,
2015-12-09 14:15:24,1654.3,0.0,0.0,2847.7,0.0,0.0,
2015-12-09 14:15:25,1725.1,0.0,0.0,3041.7,0.0,0.0,
2015-12-09 14:15:26,1822.1,0.0,0.0,3142.8,0.0,0.0,
2015-12-09 14:15:27,1753.9,0.1,0.0,3160.8,0.1,0.0,
2015-12-09 14:15:28,1769.6,0.0,0.0,3135.2,0.0,0.0,
2015-12-09 14:15:29,1581.2,0.0,0.0,2824.1,0.0,0.0,
2015-12-09 14:15:30,1775.2,0.0,0.0,3183.8,0.0,0.0,
2015-12-09 14:15:31,1913.7,0.0,0.0,3548.6,0.0,0.0,
2015-12-09 14:15:32,1860.6,0.0,0.0,3334.2,0.0,0.0,
2015-12-09 14:15:33,1881.1,0.0,0.0,3181.1,0.0,0.0,
2015-12-09 14:15:34,1748.0,0.0,0.0,3259.5,0.0,0.0,
2015-12-09 14:15:35,1864.9,0.0,0.0,3276.8,0.0,0.0,
2015-12-09 14:15:36,1993.9,0.0,0.0,3481.6,0.0,0.0,
2015-12-09 14:15:37,2008.0,0.0,0.0,3564.2,0.0,0.0,
2015-12-09 14:15:38,1967.0,0.0,0.0,3247.6,0.0,0.0,
